"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","score","gender","age","seconds_elapsed"
4,4,3,1,5,4,2,5,3,5,1,4,3,2,4,4,3,4,5,4,74,1,17,489
2,2,4,2,2,2,2,1,5,5,1,4,1,1,1,2,2,4,5,1,55,2,34,303
4,5,3,1,2,2,2,2,4,4,1,3,3,2,4,3,2,4,4,2,67,2,18,211
3,3,2,4,2,2,2,2,3,4,3,4,2,4,4,4,2,4,2,1,55,1,23,167
2,2,2,4,4,2,1,2,4,4,2,2,4,2,4,3,3,2,5,2,62,1,40,221
2,5,2,1,5,4,4,5,2,1,1,5,4,1,5,2,2,4,5,2,80,2,20,251
2,5,2,1,5,4,4,5,2,1,1,5,4,1,5,2,2,4,5,2,80,2,20,262
2,4,3,4,4,2,2,4,4,3,1,4,3,4,5,4,1,4,5,1,64,1,21,94
3,2,2,4,3,1,1,4,4,4,2,5,4,2,4,2,2,2,5,3,69,1,22,333
3,2,2,4,3,1,1,4,4,4,2,5,4,2,4,2,2,2,5,3,69,1,22,497
2,4,5,2,2,5,5,3,5,5,3,4,2,4,3,2,5,2,2,3,50,1,21,207
3,4,2,4,3,1,1,3,4,4,1,4,1,2,3,1,3,4,5,4,71,1,15,130
2,4,2,2,4,1,1,5,3,2,1,5,5,2,2,1,1,2,5,1,75,1,17,214
1,2,4,5,1,5,4,2,5,4,2,2,1,4,2,4,4,1,5,1,39,2,41,207
2,2,5,4,3,4,3,2,5,3,1,1,1,3,3,4,1,3,5,1,46,2,22,262
5,5,3,2,4,1,1,4,3,4,2,4,3,2,3,3,2,3,5,3,74,1,18,273
1,2,4,5,1,5,2,3,5,5,3,2,2,4,3,5,1,4,4,1,40,1,20,136
5,5,2,1,4,2,1,4,2,1,1,5,4,2,5,2,1,4,5,3,85,2,30,475
5,3,2,1,5,1,1,4,2,1,1,5,4,1,2,1,1,5,5,5,87,1,28,169
4,4,3,4,2,2,1,4,3,4,2,2,1,4,3,4,2,4,5,1,59,1,55,221
2,2,2,2,1,3,2,1,4,4,3,3,3,2,3,3,2,5,5,5,61,1,19,1245
3,3,2,2,2,2,2,3,5,1,2,5,3,1,3,3,1,5,4,1,67,1,22,118
4,4,4,2,4,1,2,4,2,4,2,4,4,2,4,4,2,4,4,4,73,1,15,248
4,5,3,2,4,1,2,5,3,2,3,3,4,1,4,2,2,5,5,3,79,1,1996,383
2,1,3,4,2,5,4,1,3,4,3,3,2,5,2,4,2,1,1,3,39,1,1996,512
2,2,2,3,2,4,2,2,4,2,1,4,2,2,4,2,2,4,5,2,63,1,60,239
4,4,4,2,5,3,2,4,4,4,2,4,5,2,4,5,2,4,2,2,66,1,23,174
4,4,2,4,4,2,2,4,2,2,2,4,4,2,4,2,2,4,4,3,75,1,26,186
4,4,2,2,4,3,3,5,3,2,1,3,4,1,4,1,3,5,5,5,82,1,21,289
5,3,4,3,3,2,2,4,4,2,2,4,2,2,1,3,2,4,4,2,64,1,23,174
5,3,1,1,3,1,1,4,2,2,1,5,5,2,4,1,1,5,4,5,86,2,19,228
1,5,4,3,3,5,4,3,4,2,2,2,1,2,1,5,3,2,1,2,47,2,35,619
2,1,1,4,4,5,2,2,5,3,2,2,4,2,3,1,2,2,3,1,55,1,28,335
4,2,3,4,5,3,3,4,5,4,2,5,4,3,4,4,3,4,5,2,65,1,44,143
1,3,4,4,0,4,2,3,5,4,2,2,2,2,3,2,4,4,5,2,54,2,18,628
4,5,3,2,5,3,2,5,2,1,2,5,5,1,5,1,2,5,4,5,87,2,36,153
4,5,3,2,5,3,2,5,2,1,2,5,5,1,5,1,2,5,4,5,87,2,36,173
5,4,3,4,3,2,2,4,3,2,1,4,1,3,4,4,4,5,5,1,70,1,36,144
5,5,1,1,4,1,1,3,1,1,1,5,5,1,4,1,1,3,3,3,86,1,15,143
3,4,4,5,2,5,3,2,5,4,4,2,2,5,4,5,3,2,5,1,44,2,22,164
3,5,4,5,5,3,1,4,2,3,2,2,5,1,4,4,1,5,5,5,73,1,31,201
3,4,2,2,5,1,2,3,3,2,1,2,2,3,4,2,2,3,5,3,72,1,13,122
5,4,3,1,5,2,1,5,2,1,1,5,4,1,5,2,1,4,5,5,88,1,24,123
3,4,3,3,4,2,1,4,4,2,2,3,2,1,5,1,1,4,4,1,70,2,22,147
4,3,5,3,2,2,2,4,4,4,1,4,3,2,4,2,4,2,1,4,64,2,22,120
3,3,3,2,2,5,3,3,5,4,2,4,3,3,3,3,4,1,5,2,57,1,23,190
4,3,1,3,4,2,2,5,4,2,1,5,4,2,3,2,2,5,5,3,78,2,26,184
3,4,5,3,4,1,3,4,5,2,2,5,2,3,2,2,2,4,4,3,65,1,21,285
4,2,2,4,2,5,2,4,5,3,1,5,2,3,3,2,2,2,5,3,61,2,25,224
3,2,3,1,4,3,4,4,4,2,2,5,4,2,3,3,3,3,4,4,69,2,32,196
3,2,5,2,3,4,4,4,5,5,3,4,2,3,4,5,2,3,5,3,53,2,42,182
2,2,4,2,2,4,2,1,5,2,1,4,1,2,2,3,4,2,5,1,55,1,32,149
4,5,3,1,2,3,4,4,5,3,2,3,2,1,3,2,2,3,4,3,65,1,30,247
4,2,4,3,4,3,2,2,4,2,4,4,4,2,1,4,1,4,5,2,59,1,28,210
1,3,4,3,3,4,2,2,4,2,3,4,4,4,3,4,2,3,5,1,55,1,26,188
4,3,2,2,4,4,4,4,4,4,2,4,4,2,3,2,4,4,4,2,68,1,23,334
4,1,5,4,3,5,4,3,4,3,4,3,4,3,4,4,3,4,5,2,54,1,22,151
4,3,2,1,5,5,3,4,4,2,1,2,4,2,3,1,1,4,5,3,71,2,19,131
4,4,4,2,4,4,3,4,4,1,2,5,4,2,4,3,1,4,3,2,68,1,28,202
4,3,3,2,4,5,4,4,4,3,2,2,3,2,3,2,3,4,3,3,63,1,26,159
5,4,2,1,5,2,1,5,4,1,1,5,4,1,5,2,1,5,4,3,85,1,15,102
4,2,4,2,4,2,1,3,4,2,1,4,2,2,4,4,1,4,5,2,67,2,25,158
5,4,3,3,4,2,2,4,4,3,2,4,4,2,4,4,2,4,5,1,70,1,20,172
4,4,2,2,4,4,2,3,2,4,2,4,4,2,5,1,1,4,5,4,75,2,19,88
3,4,4,4,3,4,3,2,5,4,2,3,3,2,4,4,2,3,3,4,56,1,20,180
5,4,4,4,3,3,1,3,5,4,2,5,4,2,4,1,2,3,5,1,67,1,44,149
4,5,2,4,5,2,2,5,1,1,2,5,4,2,5,3,1,2,3,1,75,1,24,125
3,1,2,2,4,1,1,2,4,3,2,5,4,2,2,4,1,4,5,4,68,1,26,213
4,4,4,2,5,2,4,2,4,2,1,5,4,1,3,2,1,5,2,5,72,2,16,294
4,3,5,4,2,2,4,2,1,4,4,4,4,5,3,5,4,5,1,2,54,2,49,174
4,4,4,2,5,2,2,2,4,2,1,5,4,1,3,2,1,5,2,5,74,2,16,1312
4,4,4,2,5,2,2,2,4,2,1,5,4,1,3,2,1,5,3,5,75,2,16,1323
2,4,4,3,3,5,4,4,4,3,2,3,3,3,4,0,3,0,3,3,58,2,17,341
5,5,4,3,3,2,2,3,4,3,3,1,3,2,4,3,3,3,3,1,62,2,17,490
3,3,4,3,3,4,4,4,4,3,3,1,1,5,3,3,3,3,3,1,49,2,17,617
5,5,5,2,4,2,2,5,4,2,2,1,4,2,4,3,2,4,3,1,68,2,17,119
4,4,5,1,3,2,1,4,3,1,3,4,3,2,4,1,1,4,5,2,73,1,28,127
2,2,4,2,3,2,2,4,4,4,2,2,2,3,4,2,2,4,4,2,60,2,28,160
2,5,4,3,4,5,4,2,5,4,1,5,2,2,3,4,2,3,1,4,55,1,21,751
4,3,2,3,3,2,2,2,4,2,2,4,2,1,2,3,1,2,1,2,59,1,36,145
4,1,4,2,4,2,2,4,4,2,1,5,3,2,5,2,1,5,5,1,71,2,28,113
3,2,4,1,2,4,2,2,4,3,3,4,2,2,2,1,2,2,5,1,57,1,30,174
2,2,4,1,3,2,2,2,5,4,4,3,5,2,4,4,4,3,4,4,62,2,33,239
5,5,3,1,4,2,3,1,4,2,1,4,4,0,4,1,4,2,2,3,75,1,36,163
5,5,2,1,4,2,2,1,4,2,1,4,4,1,4,1,2,2,2,3,74,1,36,421
2,5,4,4,5,3,3,4,4,2,2,4,4,1,5,4,1,3,5,5,70,1,21,217
5,1,1,1,5,1,1,5,3,5,1,5,5,1,3,4,1,5,5,5,81,2,24,840
5,5,3,3,3,2,2,3,5,4,2,2,3,2,4,4,2,4,4,1,63,1,23,243
1,4,3,4,5,4,1,5,4,4,3,3,4,3,1,4,2,3,2,1,55,2,22,172
4,4,2,2,3,4,2,4,5,5,2,3,3,2,3,3,1,2,4,1,59,2,47,163
2,2,3,4,2,4,4,3,4,4,2,3,1,4,4,3,3,4,3,1,50,2,40,258
4,5,4,3,2,1,1,4,4,2,3,1,3,1,1,1,3,5,4,1,67,1,17,241
2,2,4,4,4,3,3,0,2,4,2,2,2,2,2,4,2,2,4,2,50,2,39,190
3,5,1,2,5,2,1,5,2,1,1,5,5,2,5,2,1,5,5,3,87,1,29,150
3,2,4,3,4,4,3,2,5,4,3,2,2,3,4,2,2,4,4,2,54,1,14,296
4,4,4,1,4,3,2,4,3,3,1,5,2,2,5,4,2,4,5,2,72,1,25,115
3,4,5,1,5,4,5,5,5,2,5,4,3,3,2,4,1,4,1,3,55,1,33,128
2,2,3,1,4,2,1,2,3,2,1,4,1,1,1,2,2,2,5,3,66,1,27,121
4,0,4,2,4,3,3,4,2,4,0,3,4,2,4,3,5,4,5,1,69,1,35,152
2,3,3,1,4,4,4,4,3,4,1,3,3,2,3,2,2,4,4,2,64,1,25,179
5,4,1,2,5,1,1,3,2,1,1,1,3,2,4,1,1,4,5,3,80,1,18,137
4,1,2,2,4,1,1,4,4,4,2,4,1,3,1,1,2,5,5,1,66,1,19,190
4,4,3,3,3,3,2,3,5,2,2,4,3,1,2,3,3,5,5,3,69,1,31,192
2,3,4,4,2,3,4,2,4,4,2,2,2,4,2,2,4,2,3,1,48,2,64,456
2,4,4,2,4,4,2,4,5,2,2,2,2,2,3,2,2,2,4,2,60,1,22,581
4,2,5,4,2,4,4,1,5,5,3,2,1,4,4,2,2,4,3,1,44,2,59,200
3,4,3,4,2,3,3,2,5,3,2,1,3,2,2,3,3,2,3,3,54,2,32,123
4,1,5,1,4,4,3,1,5,2,1,2,1,1,2,4,2,3,4,1,53,1,19,134
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,64,1,19,170
5,2,1,1,5,1,1,3,1,1,1,5,5,1,3,1,5,5,5,5,93,1,22,333
4,4,1,2,2,1,1,2,3,2,2,2,4,2,5,4,2,3,5,2,71,1,20,280
3,4,2,1,2,1,1,4,3,3,2,2,4,2,3,2,2,1,4,1,67,2,24,197
2,4,1,2,2,4,2,2,4,3,2,4,4,2,4,2,2,4,3,1,64,1,23,267
2,3,5,4,2,4,5,2,5,4,3,3,2,4,3,4,2,3,4,2,44,2,30,164
2,2,4,4,2,4,4,4,5,4,2,4,2,2,2,4,2,1,3,1,46,1,40,173
2,2,4,4,4,4,2,2,5,4,1,2,2,2,2,2,4,3,4,2,55,2,29,152
4,2,4,4,4,4,3,2,4,4,3,4,2,3,3,4,2,4,2,2,52,1,22,141
4,3,3,2,3,1,2,2,3,2,2,4,2,2,2,1,3,4,4,3,70,2,47,165
4,4,3,1,3,2,2,2,2,4,1,4,1,2,4,3,1,4,5,3,69,1,25,383
1,3,4,3,4,3,4,4,4,4,2,2,2,2,3,3,3,4,1,2,54,2,21,168
1,2,4,5,1,4,5,4,4,5,4,4,1,4,4,5,4,1,1,1,38,1,18,156
1,2,4,4,1,4,4,3,5,4,4,1,1,3,1,2,4,3,4,1,42,2,50,503
4,4,4,2,5,1,4,5,4,3,2,5,3,3,4,3,2,4,3,4,71,2,16,226
5,1,1,1,5,1,1,5,2,1,1,5,5,1,1,1,1,5,5,5,87,2,24,241
5,5,1,2,4,2,2,3,4,1,1,0,5,2,4,4,2,4,5,2,74,1,24,100
2,2,4,2,4,5,5,2,5,4,2,1,2,2,1,3,2,2,4,1,45,2,23,120
4,5,1,2,5,2,1,4,3,2,1,5,5,2,4,1,1,5,3,4,84,1,17,126
2,4,4,3,2,2,2,2,4,2,1,2,2,2,3,2,1,5,5,2,62,1,33,460
4,3,2,3,4,2,1,4,3,2,1,4,4,2,3,2,2,4,5,2,75,1,30,471
5,5,4,1,5,3,2,5,4,3,3,4,3,1,4,3,2,3,5,3,74,1,19,215
2,2,3,1,2,4,2,4,4,2,1,4,2,2,2,4,3,2,4,5,63,1,24,262
2,2,3,4,4,5,5,4,5,3,3,2,1,3,3,4,3,2,3,1,46,1,23,200
1,4,3,4,2,3,2,4,5,4,1,4,4,2,1,0,1,4,4,4,63,2,32,140
2,2,2,3,2,4,2,2,4,2,2,4,2,3,3,2,2,2,4,1,56,1,40,439
4,3,3,4,4,3,3,4,4,3,3,3,3,3,4,4,2,4,3,1,59,1,25,150
4,3,2,3,4,3,3,4,3,2,2,4,4,2,3,2,2,4,4,2,70,1,23,442
3,4,3,4,3,4,2,4,5,3,1,3,2,2,4,4,1,4,5,2,61,1,28,164
2,5,3,4,4,3,3,3,4,4,2,3,3,3,3,2,1,3,4,3,60,2,48,171
3,4,2,1,4,2,1,2,4,3,2,5,4,1,3,2,4,4,5,3,77,1,42,201
3,4,2,4,4,2,2,3,2,2,2,4,4,2,4,2,4,4,4,3,75,1,44,161
3,2,3,3,2,5,4,4,5,5,2,4,4,2,1,4,2,3,4,1,51,1,42,185
1,2,4,4,3,3,3,2,5,5,3,2,2,4,2,4,4,2,3,2,44,2,41,153
2,2,0,2,2,4,4,2,5,4,2,2,1,2,1,0,4,2,5,2,56,2,41,113
2,4,2,1,4,1,1,4,1,1,1,5,4,1,3,1,1,4,5,3,83,1,22,164
4,4,3,3,5,2,1,3,3,3,2,4,3,2,4,2,2,4,5,2,73,2,19,102
2,4,4,2,2,5,3,2,4,4,4,2,2,2,2,2,3,3,2,1,49,1,27,1494
1,0,4,3,1,5,4,2,5,5,3,3,1,3,4,5,2,3,4,1,39,2,27,170
3,2,3,4,2,5,1,1,5,5,4,1,1,4,2,2,2,2,4,1,42,1,43,209
2,2,2,4,2,2,2,2,5,4,2,2,2,2,2,2,2,2,4,2,53,1,41,189
4,4,2,2,2,1,1,4,2,2,1,4,3,1,3,2,1,3,5,5,78,1,41,172
1,1,5,5,5,5,5,4,5,5,3,1,0,3,4,5,5,0,4,3,41,1,13,96
1,2,4,3,2,4,4,2,4,5,3,2,2,4,2,2,4,2,4,1,45,2,59,181
5,4,3,1,5,2,2,5,2,2,1,5,4,2,3,2,1,4,4,3,80,1,33,248
2,2,4,4,2,4,4,2,5,5,2,2,1,3,2,4,3,2,3,1,41,2,30,222
3,1,3,4,1,5,5,2,5,4,3,2,2,3,2,2,3,2,4,1,43,1,28,346
4,4,3,1,4,2,2,4,4,4,1,2,4,2,5,2,1,4,5,2,72,2,15,122
5,2,3,2,1,2,2,3,4,3,1,4,5,2,1,2,5,4,3,3,69,2,14,160
5,5,5,2,2,2,2,4,3,2,2,5,2,1,5,3,3,5,5,1,74,1,15,254
5,4,1,1,4,2,2,4,1,2,1,5,5,2,5,1,2,5,1,4,85,1,15,195
3,2,3,4,1,2,2,2,4,4,2,3,2,4,1,3,3,2,2,2,49,2,14,165
4,5,3,4,2,2,2,3,3,2,3,4,2,3,3,2,3,4,4,2,66,2,14,123
2,3,4,2,2,4,3,2,4,4,2,5,2,2,4,4,3,4,4,2,58,1,20,218
5,4,2,3,4,1,2,5,2,2,1,4,4,1,5,4,3,5,5,2,82,1,34,254
5,3,1,1,5,1,1,5,1,1,1,5,4,1,4,1,2,4,3,5,90,1,23,118
2,2,5,3,4,3,2,5,5,3,3,5,1,1,1,3,3,3,5,2,59,2,26,164
5,4,3,1,5,1,1,4,2,1,1,4,3,2,3,1,1,3,5,2,80,1,45,125
1,4,5,2,1,5,2,4,4,5,2,1,1,1,4,5,2,1,5,1,48,1,23,220
1,4,4,4,1,1,1,2,3,2,1,4,1,1,5,5,2,4,1,1,58,1,38,173
2,1,2,1,5,2,2,5,0,2,1,5,5,1,5,2,1,4,5,5,84,2,26,281
2,3,2,3,4,3,2,5,5,5,4,5,3,1,5,2,1,5,4,2,66,1,60,195
5,2,4,2,4,2,2,4,4,5,1,4,2,2,4,1,4,4,5,2,71,1,21,208
5,4,3,2,3,1,1,5,3,2,1,5,3,2,4,2,1,4,4,4,79,1,22,118
4,2,4,4,4,2,2,3,4,5,5,2,4,3,2,4,2,3,5,1,53,2,22,121
5,2,1,1,5,1,1,1,4,1,1,5,5,1,5,2,1,4,4,2,80,1,18,179
5,2,1,1,5,1,1,1,4,1,1,5,5,1,1,2,1,4,5,2,77,1,18,1008
5,2,1,1,5,1,1,1,4,1,1,5,5,1,5,2,1,4,4,2,80,1,18,1026
5,1,1,1,5,1,1,1,4,1,1,5,5,1,5,2,1,4,4,2,79,1,18,1044
5,5,1,1,5,1,1,1,4,1,1,5,5,1,5,2,1,4,4,2,83,1,18,1057
5,5,1,1,5,1,1,1,4,1,1,5,5,1,5,2,1,4,5,2,84,1,18,1083
4,4,2,2,5,1,1,2,4,2,2,4,2,1,4,2,2,2,5,1,72,2,41,214
4,5,2,2,3,2,1,5,3,1,2,5,4,2,4,2,1,4,4,4,80,1,22,65
2,3,2,4,4,2,1,4,2,3,1,2,2,1,4,1,2,4,5,3,72,1,34,228
1,1,4,5,1,5,4,2,4,5,2,2,4,4,3,5,4,2,4,2,42,2,30,323
2,2,2,4,3,2,2,2,4,2,4,4,2,2,2,2,4,4,1,2,58,1,60,192
3,4,2,2,4,2,2,3,4,2,3,4,3,4,4,3,2,4,5,4,70,1,60,102
3,2,2,3,4,5,2,2,4,2,2,4,5,2,4,2,3,4,2,1,64,2,29,175
4,5,4,2,5,2,1,5,5,4,1,4,5,2,4,2,2,2,4,2,73,1,27,205
4,4,2,3,4,2,2,4,3,2,1,3,4,2,5,2,2,5,5,2,77,1,24,124
4,4,4,5,4,2,2,4,4,2,2,2,5,1,5,4,4,5,5,3,73,2,22,223
4,1,2,4,5,2,4,4,3,1,1,5,4,2,2,3,2,5,5,5,74,1,42,244
4,2,2,2,4,2,2,2,4,2,1,5,4,2,3,2,3,5,5,3,75,2,45,380
2,3,3,4,3,4,3,4,4,5,1,4,4,4,2,1,2,4,5,2,60,1,26,332
1,4,2,4,4,2,1,2,4,2,2,2,2,1,3,2,2,4,5,4,67,1,22,209
3,3,3,3,3,2,2,2,4,3,2,3,1,3,2,2,3,3,4,1,58,2,60,98
2,2,2,3,4,2,2,2,5,2,3,4,3,2,4,2,3,2,4,2,63,2,43,301
1,2,4,3,2,2,2,4,4,4,3,1,2,1,3,1,2,1,5,1,54,2,24,363
4,3,3,2,4,3,2,4,3,2,2,4,4,3,3,3,3,3,4,4,71,1,27,175
2,3,3,3,3,2,2,3,4,4,1,3,1,2,4,2,2,3,4,2,61,2,15,225
2,5,3,4,2,3,2,4,4,2,2,4,2,2,4,2,2,4,5,1,65,2,14,606
4,2,4,4,2,4,2,4,4,2,2,1,4,3,4,4,2,4,4,3,59,2,15,134
3,4,2,2,4,2,1,4,4,2,2,4,3,2,4,3,2,4,4,4,74,1,22,101
2,4,2,4,5,4,2,5,5,2,1,2,5,1,4,4,4,4,3,1,68,1,27,351
3,4,4,2,2,3,2,1,4,2,1,2,2,2,2,2,1,4,5,1,59,1,30,210
5,5,1,4,4,1,1,4,1,1,3,4,2,1,4,3,3,2,5,3,79,1,21,334
4,5,4,5,3,2,2,1,4,4,3,2,2,2,2,4,3,3,3,1,53,2,15,158
3,2,2,3,4,4,4,2,4,4,3,2,2,3,3,4,3,3,3,1,51,1,22,499
5,5,5,3,2,1,1,2,5,4,2,1,1,1,5,5,2,4,5,1,60,1,20,175
3,5,1,3,1,1,1,4,4,3,1,5,3,1,5,4,2,5,5,1,74,2,15,129
2,3,4,3,4,3,2,2,4,2,2,4,2,2,4,2,4,4,4,1,64,2,19,148
2,3,4,2,2,4,2,2,5,4,3,4,1,2,4,4,1,4,4,1,52,2,45,257
1,3,5,2,4,4,2,4,4,4,2,2,2,2,2,4,4,2,5,2,56,2,53,107
2,2,4,2,2,2,2,2,3,2,1,4,3,1,4,3,2,4,4,2,65,2,23,388
2,2,4,2,2,2,2,2,3,2,1,4,3,1,4,3,2,4,4,2,65,2,23,471
3,3,4,4,3,4,4,4,4,3,3,3,3,4,3,4,3,3,3,3,54,1,33,280
4,4,3,3,3,3,2,4,3,4,3,4,4,1,1,3,4,4,1,3,65,2,20,193
4,3,2,1,4,1,1,3,4,2,1,5,4,3,3,2,2,3,5,2,75,1,21,167
3,4,4,4,2,4,5,2,1,4,4,1,2,3,3,4,2,3,3,1,47,1,44,373
2,2,2,4,2,4,2,4,5,1,2,2,3,2,3,5,1,3,5,1,55,1,25,692
3,3,3,4,4,3,3,4,4,3,2,2,2,3,4,4,2,3,3,2,57,1,25,140
2,1,4,4,4,4,2,2,5,4,4,4,2,4,4,2,2,2,5,3,52,1,60,200
2,1,5,4,1,5,4,1,5,5,4,1,1,4,4,4,4,1,3,5,38,1,66,754
2,1,5,3,3,2,2,2,5,3,1,3,2,2,3,2,2,4,3,1,55,2,37,216
2,1,3,2,4,5,4,2,4,4,3,3,2,2,2,2,3,2,2,2,50,2,24,631
2,1,3,3,2,3,2,2,4,4,2,4,4,3,4,5,2,2,4,3,55,1,25,265
2,2,3,4,3,4,3,2,2,4,3,2,3,4,3,4,3,3,4,1,51,2,22,351
3,3,3,4,4,3,3,4,4,3,2,2,2,3,4,4,2,4,3,1,57,1,25,144
2,1,5,3,3,1,2,1,5,3,3,4,2,3,3,2,3,2,4,1,53,1,37,252
2,2,4,3,4,3,2,2,4,4,4,4,1,2,4,4,2,4,5,1,55,1,29,176
4,4,2,0,5,4,2,5,4,4,2,4,4,2,4,4,3,5,4,2,74,1,18,163
5,3,2,2,4,2,2,5,4,2,1,5,5,1,5,1,1,5,5,4,84,1,18,184
5,5,3,3,4,2,3,2,2,2,1,4,2,1,5,4,2,2,5,2,71,1,20,169
3,4,5,5,1,4,2,1,5,2,1,1,1,4,2,3,2,4,4,1,47,2,22,67
4,4,2,1,1,1,1,4,1,3,1,5,4,2,2,3,1,4,1,3,72,1,26,232
1,1,5,2,5,5,3,4,5,5,1,5,2,1,2,1,1,5,3,2,57,1,18,135
1,1,5,2,5,4,3,5,5,5,1,5,2,1,1,1,1,5,3,2,58,1,18,107
2,2,3,1,4,4,3,2,5,3,2,4,2,2,2,3,2,2,4,2,56,1,26,168
3,3,4,1,3,1,2,2,5,3,1,4,3,2,3,1,2,5,5,1,68,1,17,258
4,4,4,3,3,3,2,4,3,2,2,4,2,2,4,2,3,4,4,1,68,1,23,143
3,3,4,3,4,4,2,2,4,4,3,3,2,3,4,4,3,3,5,1,56,1,18,365
3,3,4,3,4,4,2,2,4,4,3,3,2,3,4,4,2,4,5,1,56,1,18,398
3,3,4,3,4,4,2,2,4,4,3,3,2,3,4,4,1,5,5,1,56,1,18,406
1,1,4,3,2,5,3,1,5,3,3,4,1,2,3,5,5,4,4,1,48,1,30,306
4,5,4,3,4,3,2,3,4,3,3,4,4,3,3,2,3,2,4,4,67,1,17,674
5,5,2,2,4,2,2,4,1,2,2,4,5,3,3,2,4,3,4,5,82,1,17,602
4,3,4,4,3,2,2,4,4,4,2,4,2,1,3,2,2,3,4,3,64,1,42,124
3,2,2,3,3,3,4,4,4,3,2,4,2,2,4,2,2,2,4,2,61,2,22,166
5,5,2,1,4,3,2,5,2,4,1,5,5,2,4,2,2,4,5,5,84,1,19,113
5,4,3,2,4,1,2,4,3,3,1,5,2,2,5,1,2,4,5,3,79,1,24,148
3,4,3,4,4,3,2,4,5,4,2,4,4,2,3,4,5,2,4,1,63,1,48,266
1,1,5,2,4,3,2,3,5,4,1,5,4,3,3,1,2,2,2,1,56,2,20,172
2,1,4,3,2,4,3,2,5,5,3,1,2,3,2,2,1,3,3,1,42,1,16,159
5,5,1,1,5,1,1,5,1,1,1,5,5,1,0,1,1,1,5,4,86,1,22,169
5,0,2,2,4,2,2,3,2,1,2,5,5,3,4,1,1,0,5,3,72,1,18,87
3,2,4,4,3,5,4,3,4,3,3,3,2,3,4,5,3,3,5,1,51,1,22,383
5,5,5,2,5,4,2,4,4,2,2,4,5,1,4,2,1,5,5,5,78,1,21,126
5,1,5,1,5,1,1,5,5,5,1,5,5,5,5,5,5,1,5,5,72,1,47,190
5,1,5,1,5,1,1,5,5,1,1,5,5,1,5,1,1,5,5,5,84,1,47,131
3,3,4,4,2,2,3,3,4,3,1,3,2,2,2,2,3,3,0,3,56,1,42,206
1,2,4,3,2,4,3,1,5,4,2,2,2,3,2,3,4,2,5,1,47,1,33,134
4,4,3,2,5,2,2,4,2,2,1,4,5,2,2,2,4,4,5,2,79,1,23,168
2,2,4,2,2,2,2,1,4,3,2,5,1,3,4,4,2,5,5,1,58,1,30,320
5,4,5,3,5,5,5,2,5,4,3,5,5,3,3,4,3,5,5,3,62,2,31,190
4,5,3,4,2,2,1,4,3,2,2,5,4,2,4,2,1,3,5,2,72,1,27,144
3,3,4,4,2,2,2,1,1,2,4,5,4,4,4,4,4,4,2,5,64,1,22,277
5,5,1,1,5,2,1,5,1,1,1,5,5,2,3,2,1,4,4,5,89,1,17,156
4,5,2,1,3,2,1,2,1,2,2,2,2,1,4,2,4,4,5,2,77,1,16,125
5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,5,84,1,16,223
4,5,1,2,3,1,1,2,1,1,1,2,1,1,5,2,5,4,5,1,80,1,16,340
2,2,5,4,2,4,2,1,5,4,3,2,1,3,3,5,3,4,4,2,45,1,49,755
2,2,4,3,2,4,3,2,5,3,3,2,1,3,2,4,2,4,2,1,44,2,36,410
2,2,2,2,2,4,2,2,2,4,2,3,1,4,3,4,4,4,2,2,55,1,48,260
4,2,3,4,5,2,2,2,4,5,3,5,4,1,2,2,1,4,5,1,63,1,27,159
5,5,3,1,5,1,2,2,3,2,1,5,5,2,4,4,2,4,1,5,78,1,19,247
4,4,2,2,4,1,1,4,3,2,1,4,2,1,4,1,1,3,5,1,76,1,30,501
2,2,4,3,4,5,4,4,5,4,4,4,2,2,2,4,4,4,4,5,56,1,31,215
4,5,2,2,4,2,2,4,2,2,2,4,4,2,5,1,2,4,4,5,82,1,31,142
5,3,1,1,3,1,1,1,3,1,1,5,5,2,5,1,1,4,5,3,82,1,25,81
5,4,1,2,4,1,1,5,1,4,1,5,5,1,1,2,1,4,5,1,80,1,25,130
5,5,1,3,5,1,1,4,2,1,1,5,5,1,5,1,1,5,5,5,92,1,25,181
2,2,4,4,2,5,3,1,5,4,3,2,1,3,2,4,2,2,3,3,41,1,53,472
3,3,1,2,4,1,2,2,3,2,2,2,3,2,4,4,2,4,5,2,69,1,24,162
3,4,4,4,2,4,4,2,4,4,2,5,1,2,3,5,3,1,5,2,52,2,57,297
2,2,2,4,1,4,2,2,5,4,2,2,2,2,4,4,2,4,4,1,51,2,42,3798
2,4,2,4,4,2,2,4,4,4,4,4,2,2,4,2,4,2,4,4,66,1,62,203
3,2,3,2,1,3,2,4,4,4,3,1,4,2,2,4,2,3,4,2,55,1,22,145
5,4,2,3,4,2,2,4,2,2,2,4,5,2,4,3,1,3,5,4,77,1,23,126
3,3,4,1,4,4,2,3,4,3,2,3,2,2,2,4,2,4,4,4,62,1,31,190
2,1,4,4,1,5,4,1,5,5,3,4,5,4,1,4,2,2,3,1,39,1,54,181
3,3,3,4,4,3,2,2,5,4,4,4,1,2,2,1,1,4,5,3,58,1,16,300
